2000	3       1		1       1
2050	3       1		2       1
2100	4       1		2       1
2150	4       1		3       1
2200	3       1		4       1
2250	4       1		5       1
2300	2       1		6       1
2350	3       1		8       1
2400	4       1		10      2
2450	3       1		14      2
2500	1       1		19      3
2550	2       1		23      3
2600	3       1		32      3
2650	4       1		45      5
2700	4       1		63      4
2750	5       1		85      5
2800	6       1		120     6
2850	8       2		170     8
2900	12      4		230     10
2950	15      5		0       0
3000	22      10	    0       0
